tags,tag,score,Popularity,review,sum
artist,artist,7.5,4097.5,870.3333333333334,2
artist ,artist ,7.524999999999999,2228.0,1120.0,1
asperger’s syndrome ,asperger’s syndrome ,9.2,111.0,26058.0,1
assassin female lead,assassin female lead,9.0,313.0,5137.0,2
assassination,assassination,7.6,6972.0,442.5,1
assault,assault,8.133333333333333,1453.1,6318.222222222223,1
assemblyman male lead,assemblyman male lead,8.0,1663.0,1910.0,1
assistant director supporting character,assistant director supporting character,7.5,351.0,9375.0,1
astronaut female lead,astronaut female lead,,3713.0,,1
athlete female lead,athlete female lead,8.25,3016.6666666666665,6801.0,3
athlete male lead,athlete male lead,8.0,324.0,18797.5,2
attempted assassination,attempted assassination,7.5,2870.0,841.0,1
attempted assault,attempted assault,7.5,2506.0,1320.5,2
attempted assault ,attempted assault ,7.6,1821.0,1964.0,1
attempted murder,attempted murder,8.0,1515.0,14881.333333333334,6
attempted murder ,attempted murder ,7.9,1698.0,1603.0,1
attempted sexual assault,attempted sexual assault,8.0,1304.5,3946.0,1
attempted sexual assault ,attempted sexual assault ,8.1,697.0,6280.0,1
attempted suicide,attempted suicide,8.299999999999999,1371.4,14232.75,4
attempted suicide ,attempted suicide ,8.7,75.0,35781.0,1
attorney female lead,attorney female lead,9.2,227.0,8535.0,1
attorney male lead,attorney male lead,8.2,480.0,6130.0,1
audition ,audition ,7.8,3354.0,877.0,1
augmented reality,augmented reality,8.1,83.0,26561.0,1
aunt-nephew relationship,aunt-nephew relationship,7.7,201.0,22845.0,1
authoritarian parents,authoritarian parents,7.2,7185.0,129.0,1
autism,autism,8.54,20209.8,11773.4,5
autistic female lead,autistic female lead,9.2,227.0,8535.0,1
autistic male lead,autistic male lead,8.3,181.0,17804.0,1
awkward female lead,awkward female lead,7.8,325.0,12310.0,1
awkward male lead,awkward male lead,7.7,3145.6666666666665,5359.333333333333,3
babysitting,babysitting,8.0,2955.0,12608.0,2
bad man/good woman,bad man/good woman,7.25,550.0,15039.5,2
bad tempered male lead,bad tempered male lead,7.4,2980.0,1325.0,1
bad-tempered female lead,bad-tempered female lead,8.2,420.0,5763.0,1
bad/wrong tag,bad/wrong tag,7.266666666666667,5181.666666666667,1328.6666666666667,3
bad/wrong tag ,bad/wrong tag ,7.0,6394.0,220.0,1
badass female lead,badass female lead,8.134999999999998,969.3,15081.2,20
badass male lead,badass male lead,8.341176470588238,873.5882352941177,19303.58823529412,16
badass male lead ,badass male lead ,8.9,15.0,58261.0,1
badminton,badminton,8.600000000000001,533.0,7234.5,2
baekje dynasty,baekje dynasty,7.633333333333333,6225.0,272.6666666666667,3
baking,baking,7.550000000000001,1527.0,4947.0,2
balhae dynasty,balhae dynasty,8.0,7764.0,156.0,1
ballet,ballet,8.299999999999999,809.3333333333334,14206.0,2
ballet dancer male lead,ballet dancer male lead,7.4,2112.0,1244.0,1
band,band,7.616666666666668,2585.16,7589.541666666667,7
band ,band ,7.459999999999999,4163.0,12617.2,2
bank auditor ,bank auditor ,7.6,6512.0,209.0,1
bank setting,bank setting,7.6,6512.0,209.0,1
bankruptcy,bankruptcy,7.866666666666667,2055.0,5042.0,2
bankruptcy ,bankruptcy ,7.5,2248.0,1378.0,1
bantering relationship,bantering relationship,8.8,4.0,81410.0,1
barista supporting character,barista supporting character,8.1,711.0,1988.0,1
baseball,baseball,7.550000000000001,2040.0,5512.875,8
based on folk story,based on folk story,7.2,7973.0,109.0,1
based on true story,based on true story,7.457142857142857,15627.0,2606.1428571428573,4
based on true story ,based on true story ,7.3,28884.75,715.5,4
basketball,basketball,6.8,4051.0,471.0,1
battle of wits,battle of wits,8.1,1579.0,1905.0,1
beauty,beauty,7.700000000000001,580.7142857142857,19313.0,2
beauty and makeup,beauty and makeup,7.75,929.5,6635.0,1
beauty and makeup ,beauty and makeup ,8.1,287.0,11089.0,1
beauty pageant,beauty pageant,7.4,1319.0,2773.0,1
beauty salon owner,beauty salon owner,7.4,1319.0,2773.0,1
beauty standards,beauty standards,8.1,129.0,36751.333333333336,3
becoming young,becoming young,7.949999999999999,907.0,11712.0,2
benevolent father,benevolent father,7.65,2860.0,937.0,2
benevolent mother,benevolent mother,7.6,1090.5,5136.5,2
betrayal,betrayal,7.342857142857141,4922.909090909091,1664.5238095238096,20
betrayal ,betrayal ,7.300000000000001,11676.5,26.0,2
betrayed by a friend,betrayed by a friend,6.7,8958.0,74.0,1
betrayed by a lover,betrayed by a lover,7.6,3245.0,585.0,1
bickering couple,bickering couple,7.793333333333334,7762.466666666666,12754.8,14
bickering couple ,bickering couple ,8.8,117.0,26020.0,1
big family,big family,7.762499999999999,4035.875,2028.125,8
bilingual,bilingual,7.8,4049.0,582.0,1
biographical,biographical,7.966666666666668,6085.333333333333,4330.666666666667,3
biotechnology,biotechnology,7.6,702.0,5309.0,1
bipolar disorder,bipolar disorder,7.5,842.0,6197.0,1
birth secret,birth secret,7.6090909090909085,8905.045454545454,2336.7727272727275,19
birth secret ,birth secret ,7.399999999999999,7795.666666666667,203.66666666666663,3
bisexual male lead,bisexual male lead,7.75,553.5,13425.5,2
bittersweet ending,bittersweet ending,7.5,1076.0,3010.0,1
black comedy,black comedy,7.8875,2267.875,4686.0,7
black comedy ,black comedy ,9.0,84.0,22000.0,1
black magic,black magic,7.900000000000001,384.0,12646.333333333334,3
blackmail,blackmail,7.575,2230.25,7916.5,2
blackmail ,blackmail ,8.05,960.5,15200.5,2
blind date,blind date,8.366666666666667,149.0,27904.666666666668,3
blind male lead,blind male lead,8.1,365.0,9000.0,1
blindness,blindness,7.366666666666666,3427.1666666666665,3373.0,5
blood,blood,7.725,3704.0,8127.0,3
blood ,blood ,7.8,3561.0,717.0,1
blue house,blue house,8.6,861.0,4974.0,1
boarding house,boarding house,8.8,505.0,8256.0,1
body image,body image,8.3,42.0,42528.0,1
body swap,body swap,7.581818181818181,2381.5,6863.727272727273,10
body swap ,body swap ,6.75,7389.0,668.0,2
body transformation,body transformation,7.0,2231.0,1644.5,2
bodyguard female lead,bodyguard female lead,7.5,842.0,6197.0,1
bodyguard male lead,bodyguard male lead,7.300000000000001,4441.0,1493.5,2
boss-employee relationship,boss-employee relationship,7.850877192982459,2893.157894736842,16104.263157894737,52
boss-employee relationship ,boss-employee relationship ,8.14,446.8,16857.6,5
boutique ,boutique ,7.7,2942.0,709.0,1
boxer female lead,boxer female lead,7.5,3269.0,729.0,1
boxer male lead,boxer male lead,7.2,5068.0,543.0,1
boxing,boxing,7.7,3036.0,860.0,1
brain cancer,brain cancer,8.4,82.0,29321.0,1
brain surgery,brain surgery,7.800000000000001,2379.5,1324.5,2
brave female lead,brave female lead,8.05,484.5,5251.5,2
brave male lead,brave male lead,7.8,2126.0,595.0,1
break off engagement,break off engagement,7.8,966.0,3624.0,1
break up,break up,7.544444444444445,2234.5,4808.666666666667,10
brief nudity,brief nudity,8.5,588.0,5159.0,1
bright female lead,bright female lead,7.55,10880.916666666666,4800.0,10
bright female lead ,bright female lead ,7.65,3113.0,7416.5,2
broadcasting club,broadcasting club,8.2,556.0,8116.0,1
broker male lead,broker male lead,7.6,3890.0,298.0,1
bromance,bromance,8.143518518518517,712.0555555555555,13877.12962962963,94
bromance ,bromance ,8.064285714285713,959.8571428571428,10861.642857142857,14
brother-sister relationship,brother-sister relationship,7.758823529411765,8296.823529411764,5315.294117647059,14
brother-sister relationship ,brother-sister relationship ,7.733333333333334,3862.0,7823.333333333333,3
brothers love same woman ,brothers love same woman ,7.1,6511.0,272.0,1
bucket list,bucket list,7.2,99999.0,3.0,1
bullied male lead,bullied male lead,8.3,595.0,5515.0,1
business ,business ,7.44,6228.0,499.0,2
business partners,business partners,7.5,2248.0,1378.0,1
business rivalry,business rivalry,7.3,8006.0,62.0,1
business successor,business successor,7.3,7298.0,185.0,1
businessman,businessman,7.266666666666667,19576.666666666668,2538.5,3
businessman ,businessman ,7.466666666666666,1237.6666666666667,4909.333333333333,1
businessman male lead ,businessman male lead ,7.4,539.0,6832.0,2
businesswoman female lead,businesswoman female lead,8.0,1550.0,1174.0,1
butterfly effect,butterfly effect,9.0,72.0,26973.0,1
café owner female lead,café owner female lead,7.1,908.0,5861.5,1
café owner female lead ,café owner female lead ,7.0,1257.0,2835.0,1
café setting,café setting,7.1,1708.5,4667.0,2
calligrapher,calligrapher,7.4,580.0,6076.0,1
calm female lead,calm female lead,8.028571428571428,2040.9285714285716,11684.0,11
calm female lead ,calm female lead ,8.433333333333334,453.0,12831.0,3
calm male lead,calm male lead,8.155813953488373,944.1395348837208,15793.023255813954,41
calm male lead ,calm male lead ,7.85,1336.5,3382.5,2
camping trip,camping trip,8.1,1378.0,2027.0,1
campus setting,campus setting,8.2,2437.0,4937.0,5
cancer,cancer,7.975000000000001,3802.0,7879.25,3
car accident,car accident,7.5636363636363635,11285.583333333334,2874.0,12
car racing ,car racing ,6.8,99999.0,16.0,1
cardiothoracic surgeon,cardiothoracic surgeon,7.1,6638.0,178.0,1
career oriented female lead,career oriented female lead,7.6,1594.0,3553.333333333333,3
career woman,career woman,8.4,1601.0,2409.0,1
carefree female lead ,carefree female lead ,8.8,505.0,8256.0,1
carpenter male lead,carpenter male lead,7.3,1834.0,1587.0,1
carreer female lead,carreer female lead,7.3,3177.0,1063.0,1
casino setting,casino setting,7.7,1037.0,3067.0,1
cat,cat,7.839999999999999,1168.5,9096.7,2
catastrophy,catastrophy,7.5,1224.0,2127.0,1
catholicism in korea ,catholicism in korea ,7.9,1773.0,1707.0,1
chairman,chairman,7.733333333333334,3331.333333333333,803.3333333333334,1
chairman/chairwoman supporting character,chairman/chairwoman supporting character,7.800000000000001,2891.5,1003.0,1
chairman/chairwoman supporting character ,chairman/chairwoman supporting character ,7.7,3369.0,773.0,1
character development,character development,8.093333333333335,3145.428571428572,11377.283333333333,50
character development ,character development ,7.974999999999999,10103.153846153846,7528.166666666667,13
chasing a dream,chasing a dream,7.661538461538462,16019.714285714286,4224.0,14
