tag,0
famous male lead,famous male lead
basketball,basketball
eccentric female lead,eccentric female lead
entertainment industry,entertainment industry
single mother,single mother
working mom ,working mom 
university,university
second chance ,second chance 
widow female lead,widow female lead
hair dresser,hair dresser
mean male lead,mean male lead
hot-tempered male lead,hot-tempered male lead
omnibus ,omnibus 
brother-sister relationship,brother-sister relationship
shy female lead,shy female lead
bickering couple,bickering couple
playboy male lead,playboy male lead
1970s,1970s
father-son relationship ,father-son relationship 
sibling rivalry,sibling rivalry
poor male lead ,poor male lead 
hateful mother-in-law,hateful mother-in-law
time skip,time skip
evil mother-in-law,evil mother-in-law
clingy male lead,clingy male lead
coma,coma
contract relationship,contract relationship
nerdy male lead,nerdy male lead
calm male lead,calm male lead
cat,cat
multiple mains ,multiple mains 
leave home,leave home
childhood sweethearts,childhood sweethearts
long-lost father,long-lost father
return to hometown,return to hometown
martial arts ,martial arts 
married female lead,married female lead
housewife female lead,housewife female lead
extramarital affair,extramarital affair
rich family,rich family
black comedy,black comedy
revenge ,revenge 
hospital setting,hospital setting
surgeon male lead,surgeon male lead
doctor male lead ,doctor male lead 
beauty,beauty
arrogant male lead,arrogant male lead
adapted from a manhwa ,adapted from a manhwa 
restaurant setting,restaurant setting
restaurateur male lead,restaurateur male lead
webtoon artist male lead,webtoon artist male lead
chasing a dream,chasing a dream
absent father,absent father
grandpa-granddaughter relationship,grandpa-granddaughter relationship
determined male lead,determined male lead
psychological manipulation,psychological manipulation
mother-son relationship ,mother-son relationship 
ex-convict,ex-convict
poor male lead,poor male lead
swindler male lead,swindler male lead
secretary supporting character,secretary supporting character
body swap,body swap
student-teacher relationship,student-teacher relationship
family secret,family secret
paparazzi,paparazzi
photography,photography
ex-spouse relationship,ex-spouse relationship
prosecutor supporting character,prosecutor supporting character
photographer,photographer
cold female lead ,cold female lead 
naive male lead,naive male lead
deception,deception
brave female lead,brave female lead
assault,assault
greed ,greed 
successful female lead,successful female lead
golf,golf
pre-produced,pre-produced
adapted from a manhwa,adapted from a manhwa
makeover,makeover
plastic surgery,plastic surgery
transformation,transformation
food,food
motherhood,motherhood
childbirth,childbirth
career woman,career woman
family ,family 
badass male lead,badass male lead
interspecies romance ,interspecies romance 
school problems,school problems
social problems,social problems
future,future
dystopia,dystopia
post apocalyptic,post apocalyptic
adapted from a webtoon ,adapted from a webtoon 
seaside setting,seaside setting
predjama castle,predjama castle
sworn enemy,sworn enemy
reincarnated lovers,reincarnated lovers
immortality,immortality
immortal,immortal
enemies to lovers ,enemies to lovers 
company president (ceo) male lead,company president (ceo) male lead
anger issues,anger issues
overbearing ceo,overbearing ceo
secretary male lead,secretary male lead
selfless female lead,selfless female lead
controlling parent ,controlling parent 
pianist male lead,pianist male lead
cheerful female lead,cheerful female lead
competent male lead,competent male lead
based on folk story,based on folk story
tetra-chromatic,tetra-chromatic
color blindness ,color blindness 
hacker supporting character,hacker supporting character
judge male lead,judge male lead
team leader supporting character,team leader supporting character
detective fiction,detective fiction
perfectionist male lead,perfectionist male lead
social workers,social workers
genetic manipulation,genetic manipulation
childhood acquaintance,childhood acquaintance
superhuman strength,superhuman strength
healing power,healing power
dark fiction,dark fiction
femme fatale,femme fatale
qing dynasty,qing dynasty
harem,harem
joseon dynasty ,joseon dynasty 
palace setting,palace setting
queen dowager supporting character,queen dowager supporting character
concubine female lead,concubine female lead
historical fiction ,historical fiction 
soldier female lead,soldier female lead
north and south korea,north and south korea
tough female lead ,tough female lead 
"""unhealthy mains' relationship""","""unhealthy mains' relationship"""
multi-generational,multi-generational
grandpa-grandson relationship,grandpa-grandson relationship
fake identity,fake identity
evil daughter-in-law,evil daughter-in-law
fake daughter,fake daughter
family reunion,family reunion
family dispute,family dispute
mystery,mystery
suicide,suicide
hidden identity ,hidden identity 
bodyguard male lead,bodyguard male lead
brother-sister relationship ,brother-sister relationship 
fated love,fated love
1980s,1980s
heart disease,heart disease
riches to rags,riches to rags
remarriage,remarriage
kidnapping,kidnapping
wrongfully accused ,wrongfully accused 
adapted from a manga,adapted from a manga
evil parental figure,evil parental figure
