actor,cast,Popul,score
Hwanhee,1,4366.0,7.0
Hwiyoung,1,2253.0,7.4
Hyolyn,2,219.0,6.9
Hyun Bin,4,1468.6923076923076,7.916666666666667
Hyun Jyu Ni,1,8157.0,7.3
Hyun Seung Hee,1,6594.0,7.0
Hyun Suk,6,58343.57142857143,7.428571428571429
Hyun Woo,7,8164.371428571429,7.655882352941177
Hyun Woo Sung,2,6350.0,7.55
I.L,1,1506.0,8.1
IU,7,343.85714285714283,7.914285714285714
Im Chae Moo,3,8229.666666666666,7.1000000000000005
Im Chang Jung,1,99999.0,7.1
Im Chul Hyung,1,1549.0,8.3
Im Da Young,1,841.0,8.2
Im Dae Ho,1,9145.0,6.4
Im Do Yoon,2,175.0,8.2
Im Dong Jin,3,69394.33333333333,6.8
Im Eun Kyung,1,7448.0,6.9
Im Ho,4,31104.25,7.55
Im Hwa Young,4,1688.5,8.049999999999999
Im Hwi Jin,1,1286.0,8.0
Im Hyuk,3,76804.5,7.5
Im Hyuk Joo,1,99999.0,8.1
Im Hyun Shik,2,51505.0,7.55
Im Hyun Sung,1,1655.0,7.7
Im Hyung Joon,1,1226.0,7.2
Im Ji Eun,4,6043.75,7.45
Im Ji Yeon,5,2093.8,7.62
Im Joo Hwan,10,1069.6,7.839999999999999
Im Ju Eun,7,2222.4285714285716,7.685714285714286
Im Jung Eun,3,36897.666666666664,7.233333333333333
Im Se Mi,9,3475.8888888888887,7.762500000000001
Im Seul Ong,4,1775.25,7.699999999999999
Im Si Wan,7,1538.4285714285713,8.071428571428571
Im Soo Hyang,12,1484.6666666666667,7.375
Im Soo Jung,5,513.0,8.18
Im Sung Eon,2,4103.0,7.85
Im Tae Kyung,1,1007.0,8.3
Im Won Hee,4,2515.75,7.449999999999999
Im Ye Jin,2,99999.0,7.0
Im Yoon Ah,6,867.3333333333334,7.866666666666666
Im Yoon Ho,1,3648.0,7.4
In Gyo Jin,6,19617.333333333332,7.866666666666668
Ivy,1,10335.0,7.1
Jae Hee,4,17748.375,7.2749999999999995
Jang  Kyung Ah,1,7481.0,7.4
Jang Dong Gun,6,50203.166666666664,7.966666666666666
Jang Dong Jik,2,9271.5,7.5
Jang Dong Joo,1,1082.0,7.9
Jang Dong Yoon,7,904.5714285714286,8.085714285714285
Jang Eui Soo,1,158.0,8.1
Jang Eun Bi,1,99999.0,7.4
