actors,장르,점수별,인기별,리뷰수,작품수
Choi Jae Won,Choi Jae Won,6.6,99999.0,16.0,1
Choi Jae Woong,Choi Jae Woong,8.0,1104.3333333333333,7711.666666666667,3
Choi Ji Na,Choi Ji Na,7.800000000000001,5949.0,1755.5,2
Choi Ji Su,Choi Ji Su,7.4,2253.0,1809.0,1
Choi Ji Woo,Choi Ji Woo,7.399999999999999,3487.333333333333,3873.777777777778,9
Choi Jin Ho,Choi Jin Ho,8.6,224.33333333333331,15851.666666666666,3
Choi Jin Hyuk,Choi Jin Hyuk,7.828571428571429,8176.928571428572,13104.142857142857,14
Choi Jin Shil,Choi Jin Shil,7.666666666666667,39010.333333333336,158.0,3
Choi Jong Hwan,Choi Jong Hwan,7.25,2940.5,2567.0,2
Choi Jong Won,Choi Jong Won,7.550000000000001,51345.0,409.0,2
Choi Joo Hee,Choi Joo Hee,7.0,4754.0,374.0,1
Choi Joon Yong,Choi Joon Yong,7.6,3179.0,1174.0,1
Choi Jung Won,Choi Jung Won,7.35,2630.5,1435.0,2
Choi Jung Woo,Choi Jung Woo,7.985714285714286,2308.285714285714,8395.285714285714,7
Choi Jung Yoon,Choi Jung Yoon,7.377777777777776,26826.0,762.0,9
Choi Kang Hee,Choi Kang Hee,7.540000000000001,12244.4,4119.0,10
Choi Kwang Il,Choi Kwang Il,7.720000000000001,842.6,5727.2,5
Choi Kwang Je,Choi Kwang Je,8.0,3208.5,1006.5,2
Choi Kwon,Choi Kwon,8.2,174.0,18228.0,1
Choi Kyu Hwan,Choi Kyu Hwan,7.666666666666667,67203.0,897.0,3
Choi Kyu Jin,Choi Kyu Jin,8.05,1670.0,4340.5,2
Choi Min,Choi Min,7.658823529411764,8148.111111111111,10043.411764705885,2
Choi Min Ho,Choi Min Ho,7.540000000000001,1461.4,14167.4,5
Choi Min Shik,Choi Min Shik,,7868.0,,1
Choi Min Soo,Choi Min Soo,7.7555555555555555,13672.111111111111,6011.0,9
Choi Min Yong,Choi Min Yong,8.1,2422.0,1202.0,1
Choi Moo Sung,Choi Moo Sung,8.366666666666665,727.3333333333334,6108.666666666667,3
Choi Moon Hee,Choi Moon Hee,7.4,9286.0,13.0,1
Choi Moon Seok,Choi Moon Seok,,99999.0,,1
Choi Myung Gil,Choi Myung Gil,7.255555555555556,4962.444444444444,1341.888888888889,9
Choi Phillip,Choi Phillip,7.5,3275.0,916.5,2
Choi Ran,Choi Ran,7.1000000000000005,5213.666666666667,1341.3333333333333,3
Choi Ri,Choi Ri,8.1,938.0,9117.5,2
Choi Ro Woon,Choi Ro Woon,7.8,938.0,3973.0,1
Choi Sang Hoon,Choi Sang Hoon,6.9,99999.0,19.0,1
Choi Seung Kyung,Choi Seung Kyung,7.3,7293.0,151.0,1
Choi Si Won,Choi Si Won,7.6571428571428575,2570.75,9763.285714285714,8
Choi Song Hyun,Choi Song Hyun,7.4,1575.0,2771.0,2
Choi Soo Jong,Choi Soo Jong,7.714285714285714,20644.571428571428,318.2857142857143,7
Choi Soo Rin,Choi Soo Rin,7.333333333333333,3022.333333333333,6237.666666666667,3
Choi Soo Young,Choi Soo Young,7.790000000000001,2230.9,6805.3,10
Choi Sun Ah,Choi Sun Ah,10.0,99999.0,2.0,1
Choi Sung Eun,Choi Sung Eun,8.600000000000001,229.0,14422.5,2
Choi Sung Jae,Choi Sung Jae,7.15,8714.0,127.5,2
Choi Sung Won,Choi Sung Won,7.4,459.0,6757.0,1
Choi Won Tae,Choi Won Tae,6.9,7377.0,298.0,1
Choi Won Young,Choi Won Young,7.892307692307693,8901.714285714286,5345.153846153846,14
Choi Woo Hyeok,Choi Woo Hyeok,7.3,99999.0,16.0,1
Choi Woo Suk,Choi Woo Suk,6.92,44845.6,186.0,5
Choi Woong,Choi Woong,7.366666666666667,6641.0,286.6666666666667,3
Choi Ye Bin,Choi Ye Bin,8.0,1880.0,684.0,1
Choi Yeo Jin,Choi Yeo Jin,7.509090909090909,2385.2727272727275,6261.818181818182,11
Choi Yeon Cheong,Choi Yeon Cheong,8.1,158.0,24755.0,1
Choi Yong Min,Choi Yong Min,7.6,3793.0,837.0,1
Choi Yoo Hwa,Choi Yoo Hwa,8.0,1344.3333333333333,4022.3333333333335,3
Choi Yoon Je,Choi Yoon Je,8.2,709.0,5415.0,1
Choi Yoon So,Choi Yoon So,7.56,6071.4,2166.6,5
Choi Yoon Young,Choi Yoon Young,7.56,3879.0,1519.8,5
Choi Young Jae,Choi Young Jae,7.9,641.0,7775.0,1
Choo Ja Hyun,Choo Ja Hyun,8.166666666666666,2444.25,2121.333333333333,4
Choo Seung Wook,Choo Seung Wook,8.2,2366.0,1964.0,1
Choo So Young,Choo So Young,7.5,11607.0,19.0,1
Choo Soo Hyun,Choo Soo Hyun,7.5,548.0,7407.0,1
Choo Young Woo,Choo Young Woo,8.0,635.0,4502.0,1
Chun Bo Geun,Chun Bo Geun,7.9,2359.0,1515.0,1
Chun Ho Jin,Chun Ho Jin,8.254545454545454,972.3636363636364,10311.636363636364,11
Chun Jae Ho,Chun Jae Ho,7.4,3653.0,711.0,1
Chun Jung Myung,Chun Jung Myung,7.233333333333332,3337.8888888888887,1814.0,9
Chun Min Hee,Chun Min Hee,7.9,133.0,23016.0,1
Chun Woo Hee,Chun Woo Hee,7.933333333333334,1809.0,3579.333333333333,3
Clara Lee,Clara Lee,7.45,1577.0,12148.0,2
D.ana,D.ana,7.4,5549.0,394.0,1
Danny Ahn,Danny Ahn,7.466666666666666,33890.333333333336,4540.333333333333,3
David Lee,David Lee,7.975,1139.0,13081.5,4
Dawon,Dawon,8.4,82.0,29321.0,1
Dennis Oh,Dennis Oh,7.2,4903.0,651.0,1
Do Ji Han,Do Ji Han,7.433333333333334,2454.6666666666665,12240.333333333334,3
Do Ji Won,Do Ji Won,7.76,4138.0,12236.0,5
Do Sang Woo,Do Sang Woo,7.6,1580.0,6247.0,4
Doh Kyung Soo,Doh Kyung Soo,7.766666666666667,1422.75,16198.0,4
Dok Go Young Jae,Dok Go Young Jae,7.8,1756.0,1787.0,1
Dong Ha,Dong Ha,7.742857142857143,1598.571428571429,8952.142857142857,3
Dong Hyun Bae,Dong Hyun Bae,8.1,189.0,14601.0,1
EXY,EXY,8.1,1506.0,2204.0,1
Eric Mun,Eric Mun,7.3875,3939.5,4900.25,8
Eru,Eru,7.3,5429.0,279.0,1
Esom,Esom,8.025,1269.4,16666.25,5
Eugene,Eugene,7.945454545454546,1179.3636363636365,17023.81818181818,5
Eum Moon Suk,Eum Moon Suk,8.0,742.0,6010.0,1
Eun Ji Won,Eun Ji Won,8.5,63.0,34162.0,1
Feeldog,Feeldog,7.9,571.0,7817.0,1
Fueki Yuko,Fueki Yuko,7.333333333333333,38439.0,362.3333333333333,3
Ga Deuk Hee,Ga Deuk Hee,7.65,1806.5,10806.0,2
Gal So Won,Gal So Won,7.4,4026.0,562.0,1
Geum Bo Ra,Geum Bo Ra,7.2,55246.75,43.66666666666666,4
Geum Sae Rok,Geum Sae Rok,8.6,363.0,9512.0,3
Gil Eun Hye,Gil Eun Hye,7.366666666666667,1020.0,14543.0,3
Gil Yong Woo,Gil Yong Woo,7.225,7300.5,155.25,4
Giriboy,Giriboy,,4453.0,,1
Go Ah Ra,Go Ah Ra,7.875,1336.625,14342.125,8
Go Ah Sung,Go Ah Sung,7.82,3529.6,3122.4,5
Go Bo Gyeol,Go Bo Gyeol,8.4,391.5,10500.5,2
Go Do Yeon,Go Do Yeon,7.6,2594.0,1325.0,1
Go Doo Shim,Go Doo Shim,7.518181818181818,10209.692307692309,2846.6363636363635,13
Go Eun Ah,Go Eun Ah,6.9,99999.0,40.0,1
Go Eun Mi,Go Eun Mi,7.0,99999.0,19.0,2
Go Geon Han,Go Geon Han,8.05,85.0,35513.5,2
Go Gyu Pil,Go Gyu Pil,8.125,660.75,5913.75,4
Go Hyun Jung,Go Hyun Jung,7.712499999999999,3546.25,1316.0,8
Go In Beom,Go In Beom,7.6,3664.3333333333335,1913.3333333333333,3
Go Joo Won,Go Joo Won,7.5,24084.4,407.0,5
Go Joon Hee,Go Joon Hee,7.3875,3317.75,6929.75,8
Go Jun,Go Jun,8.059999999999999,20707.0,3834.8,4
Go Jung Min,Go Jung Min,7.6,99999.0,5.0,1
Go Kyung Pyo,Go Kyung Pyo,8.144444444444446,1035.6,14258.888888888889,10
Go Min Si,Go Min Si,8.200000000000001,587.8333333333334,20903.666666666668,6
Go Myung Hwan,Go Myung Hwan,7.3,3751.0,606.0,1
Go Na Eun,Go Na Eun,7.466666666666666,35394.0,560.6666666666666,3
Go Na Hee,Go Na Hee,8.3,1039.0,3449.0,1
Go Na Yeon,Go Na Yeon,7.6,6778.0,196.0,1
Go Se Won,Go Se Won,7.2,38043.66666666666,104.66666666666669,3
Go So Young,Go So Young,7.4,2510.0,1153.0,1
Go Soo,Go Soo,7.741666666666667,12290.083333333334,1473.25,10
Go Soo Hee,Go Soo Hee,7.5,1415.0,4634.0,2
Go Sung Hee,Go Sung Hee,7.737500000000001,1616.875,4931.5,8
Go Won Hee,Go Won Hee,7.824999999999999,2723.4444444444443,6110.625,9
Go Woo Jin,Go Woo Jin,8.3,306.0,15543.0,1
Go Yoon,Go Yoon,7.7,2522.75,11493.0,2
Go Yoon Jung,Go Yoon Jung,8.4,1423.0,28017.0,2
Gong Hyo Jin,Gong Hyo Jin,8.1375,1535.4444444444443,18172.125,9
Gong Hyun Joo,Gong Hyun Joo,7.766666666666667,2864.6666666666665,5551.666666666667,3
Gong Hyung Jin,Gong Hyung Jin,7.45,26831.0,1458.25,4
Gong Jae Won,Gong Jae Won,6.8,99999.0,5.0,1
Gong Jung Hwan,Gong Jung Hwan,7.5,5703.5,2115.0,2
Gong Min Jung,Gong Min Jung,7.4,1390.0,2635.5,2
Gong Myung,Gong Myung,7.814285714285714,552.2857142857143,10555.42857142857,7
Gong Seung Yeon,Gong Seung Yeon,8.014285714285714,1450.625,11547.142857142857,8
Gong Yoo,Gong Yoo,8.075,170.5,41347.75,4
Goo Ha Ra,Goo Ha Ra,7.5,1545.0,1947.0,2
Gu Bon Seung,Gu Bon Seung,10.0,99999.0,1.0,1
Gu Hye Seon,Gu Hye Seon,7.2375,2887.25,13195.5,8
Gu Jae Yi,Gu Jae Yi,7.65,2567.25,1825.75,4
Gu Seung Hyun,Gu Seung Hyun,6.65,2624.5,1576.0,2
Gu Won,Gu Won,7.433333333333333,3337.0,3585.333333333333,3
HA:TFELT,HA:TFELT,6.8,4051.0,471.0,1
Ha Do Gwon,Ha Do Gwon,7.766666666666666,1545.0,3218.333333333333,3
